CBSA,CBSA Code,Year,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,90th Percentile AQI,Median AQI,Days CO,Days NO2,Days Ozone,Days PM2.5,Days PM10,Core Base Stastical Area,Median Household Income,Income Inequality (Gini),Final Total Population,metropolitan statistical area/micropolitan statistical area,CBSA_Code,Percentage of People in Poverty,Percentage of Unemployed People,Percentage of People with Health Insurance Coverage,Percentage of People With Educational Attainment (HS+),Percentage of People With Internet Access
"Spokane-Spokane Valley, WA",44060,2024,213,152,61,0,0,0,0,100,65,42,0,0,82,112,19,"Spokane-Spokane Valley, WA Metro Area",72836,0.453,591793,44060,44060,0.1200216967757307,0.027631283235861188,0.9836564474402367,0.1360864356286742,0.39686512006732083
"Springfield, IL",44100,2024,274,187,86,1,0,0,0,105,58,43,0,0,129,145,0,"Springfield, IL Metro Area",74580,0.4546,207386,44100,44100,0.12477216398406836,0.02665078645617351,0.9895508857878546,0.17082638172297068,0.43149007165382425
"Springfield, MA",44140,2024,249,186,60,3,0,0,0,119,63,40,0,3,173,73,0,"Springfield, MA Metro Area",70535,0.4707,462853,44140,44140,0.15293624541701145,0.029774031928063553,0.9897980568344593,0.18012846411279607,0.39800325373282663
"Springfield, MO",44180,2024,179,113,66,0,0,0,0,82,61,45,0,0,76,103,0,"Springfield, MO Metro Area",61488,0.4603,481671,44180,44180,0.13474134834773113,0.01772163987452016,0.9874125699907198,0.17006836616694798,0.41167726518723363
"Springfield, OH",44220,2024,274,173,98,3,0,0,0,133,64,46,0,0,131,143,0,"Springfield, OH Metro Area",60846,0.4299,135445,44220,44220,0.15195835948170844,0.030809553693381078,0.9879360626084388,0.21969064934106095,0.40846838200007385
"St. Cloud, MN",41060,2024,182,151,31,0,0,0,0,97,54,39,0,0,106,76,0,"St. Cloud, MN Metro Area",75670,0.4315,200816,41060,41060,0.11234164608397737,0.023429408015297585,0.9899360608716437,0.16051509839853398,0.3855818261493108
"St. George, UT",41100,2024,274,188,84,2,0,0,0,108,71,47,0,0,271,3,0,"St. George, UT Metro Area",76411,0.4513,189827,41100,41100,0.0976678765402182,0.01486616761577647,0.9921349439226242,0.12376005520816322,0.35249990781079615
"St. Joseph, MO-KS",41140,2024,178,106,72,0,0,0,0,76,59,48,0,0,80,93,5,"St. Joseph, MO-KS Metro Area",62900,0.4574,120609,41140,41140,0.1353215763334411,0.019277168370519612,0.957142501803348,0.21982604946562861,0.38817998656816655
"St. Louis, MO-IL",41180,2024,274,92,171,8,3,0,0,165,84,55,0,2,98,158,16,"St. Louis, MO-IL Metro Area",78225,0.4658,2809414,41180,41180,0.10102747405686738,0.021761121714350396,0.9879013915357437,0.15042104865996966,0.41106116791615616
"St. Marys, PA",41260,2024,237,224,13,0,0,0,0,67,48,36,0,0,237,0,0,"St. Marys, PA Micro Area",64103,0.4247,30703,41260,41260,0.0897632153209784,0.032114125655473405,0.9902289678533043,0.3249519590919454,0.43907761456535194
"State College, PA",44300,2024,238,192,46,0,0,0,0,93,61,42,0,1,207,30,0,"State College, PA Metro Area",72748,0.4781,158041,44300,44300,0.14731620275751228,0.019412684050341366,0.9678311324276612,0.15462443290032332,0.37335881195386006
"Steamboat Springs, CO",44460,2024,273,272,1,0,0,0,0,53,29,13,0,0,0,0,273,"Steamboat Springs, CO Micro Area",93984,0.478,38248,44460,44460,0.08138987659485464,0.01615770759255386,0.9927316460991424,0.14719723907132398,0.41628320435055427
"Stockton-Lodi, CA",44700,2024,182,118,64,0,0,0,0,90,65,44,0,0,70,109,3,"Stockton-Lodi, CA Metro Area",88531,0.4437,787416,44700,44700,0.12326775173478823,0.034850701535147875,0.9881371473274609,0.154288203440113,0.30653809422211387
"Summerville, GA",44900,2024,182,173,9,0,0,0,0,77,49,39,0,0,182,0,0,"Summerville, GA Micro Area",47785,0.4255,24975,44900,44900,0.18802802802802804,0.01905905905905906,0.9385385385385385,0.1796196196196196,0.36604604604604607
"Syracuse, NY",45060,2024,274,232,42,0,0,0,0,84,54,38,0,0,200,74,0,"Syracuse, NY Metro Area",73558,0.4585,657128,45060,45060,0.13317801098111784,0.02674060457019028,0.9907917483351798,0.15341151191244323,0.4073148610316407
"Tallahassee, FL",45220,2024,182,101,80,1,0,0,0,129,64,48,0,0,51,131,0,"Tallahassee, FL Metro Area",63078,0.492,388298,45220,45220,0.17304235406826715,0.02755615532400373,0.9729177075339044,0.11871552261407475,0.3992294577875755
"Tampa-St. Petersburg-Clearwater, FL",45300,2024,275,128,143,4,0,0,0,143,67,51,1,0,91,181,2,"Tampa-St. Petersburg-Clearwater, FL Metro Area",71254,0.4792,3240469,45300,45300,0.12000855431729172,0.02346882503736342,0.98826064992444,0.16835340810234567,0.40230102494422876
"Taos, NM",45340,2024,181,181,0,0,0,0,0,46,31,14,0,0,0,181,0,"Taos, NM Micro Area",58908,0.5115,34516,45340,45340,0.1432089465755012,0.022598215320431103,0.9939448371769614,0.1691099779812261,0.4189071734847607
"Terre Haute, IN",45460,2024,274,149,124,1,0,0,0,112,64,48,0,0,116,158,0,"Terre Haute, IN Metro Area",55380,0.4702,168850,45460,45460,0.15992893100384958,0.026514657980456026,0.9623215872075807,0.19943144803079657,0.39912940479715725
"Texarkana, TX-AR",45500,2024,181,97,84,0,0,0,0,92,62,48,0,0,0,181,0,"Texarkana, TX-AR Metro Area",55046,0.4815,146868,45500,45500,0.16840291962850995,0.022053817032982,0.9532028760519651,0.20782607511506931,0.3806275022469156
"The Dalles, OR",45520,2024,180,165,15,0,0,0,0,75,44,19,0,0,0,180,0,"The Dalles, OR Micro Area",63602,0.4859,26603,45520,45520,0.1187835958350562,0.03774010449949254,0.9818441529150848,0.1528774950193587,0.3913468405818893
"Toledo, OH",45780,2024,274,114,156,4,0,0,0,119,77,53,0,0,126,148,0,"Toledo, OH Metro Area",63749,0.4795,602977,45780,45780,0.15513361206148826,0.03117531846156653,0.9895369143433331,0.17796201181802954,0.41988832078172134
"Topeka, KS",45820,2024,182,140,41,1,0,0,0,125,61,44,0,0,132,49,1,"Topeka, KS Metro Area",68160,0.4298,232724,45820,45820,0.11181055671095375,0.018683075230745434,0.9819184957288462,0.18529244942507003,0.412488613121122
"Torrington, CT",45860,2024,181,153,22,6,0,0,0,119,58,40,2,0,170,9,0,"Torrington, CT Micro Area",91035,0.4815,112848,45860,45860,0.09059974478945129,0.029739118105770596,0.9917411030767049,0.1824844037998015,0.41679958882744933
"Traverse City, MI",45900,2024,214,190,22,2,0,0,0,101,51,38,0,0,214,0,0,"Traverse City, MI Metro Area",77495,0.4501,154657,45900,45900,0.09077506999359873,0.01887402445411459,0.9915619726232889,0.15385013287468396,0.4152220720691595
"Trenton, NJ",45940,2024,243,165,73,5,0,0,0,133,74,44,0,0,179,64,0,"Trenton-Princeton, NJ Metro Area",96333,0.5021,383286,45940,45940,0.10552433430910599,0.03173870164837745,0.9868270690815736,0.15026377170050562,0.3690820953543829
"Truckee-Grass Valley, CA",46020,2024,182,159,23,0,0,0,0,97,51,34,0,0,135,47,0,"Truckee-Grass Valley, CA Micro Area",84905,0.4799,102452,46020,46020,0.10487838207160427,0.021102565103658297,0.9910397063990942,0.1368933744582829,0.408708468355913
"Tucson, AZ",46060,2024,275,105,159,9,2,0,0,171,90,58,1,0,201,43,30,"Tucson, AZ Metro Area",67929,0.4662,1049947,46060,46060,0.1395879982513403,0.02691945402958435,0.9780188904773288,0.11746211951650892,0.41046357578049175
"Tulsa, OK",46140,2024,275,115,149,10,1,0,0,179,84,52,1,0,155,118,1,"Tulsa, OK Metro Area",67823,0.47,1026209,46140,46140,0.13483608114916162,0.025818327455713212,0.9894777769440728,0.1614524916464385,0.38968670124701693
"Tupelo, MS",46180,2024,214,192,22,0,0,0,0,87,51,41,0,0,214,0,0,"Tupelo, MS Micro Area",63188,0.4767,132079,46180,46180,0.1280900067383914,0.021184291219648845,0.9854556742555591,0.14914558711074433,0.3816655183640094
"Tuscaloosa, AL",46220,2024,212,185,25,2,0,0,0,125,53,36,0,0,108,104,0,"Tuscaloosa, AL Metro Area",59975,0.4728,275217,46220,46220,0.16949897717074164,0.026190242608559792,0.9853025067492197,0.16713720446048028,0.37357067332323224
"Twin Falls, ID",46300,2024,171,158,13,0,0,0,0,59,48,14,0,0,0,171,0,"Twin Falls, ID Metro Area",66473,0.4366,116909,46300,46300,0.11259184493922623,0.01600390046959601,0.9906765090797116,0.1481665226800332,0.36019468133334476
"Tyler, TX",46340,2024,182,155,27,0,0,0,0,93,61,40,0,0,182,0,0,"Tyler, TX Metro Area",71923,0.4533,238014,46340,46340,0.11874091439999328,0.019629097448049273,0.9883956405925702,0.13375683783306863,0.3432151049938239
"Urban Honolulu, HI",46520,2024,183,180,3,0,0,0,0,85,42,34,1,0,108,74,0,"Urban Honolulu, HI Metro Area",104264,0.4412,1003666,46520,46520,0.08848361905255334,0.02324279192480367,0.9445821617948601,0.15840030448376252,0.3358298477780457
"Utica-Rome, NY",46540,2024,257,216,41,0,0,0,0,68,53,27,0,0,0,257,0,"Utica-Rome, NY Metro Area",68830,0.4417,289577,46540,46540,0.13762142711610384,0.021928537142107282,0.9773946135224828,0.17985544432050887,0.4136619966364732
"Valdosta, GA",46660,2024,241,156,84,1,0,0,0,110,59,43,0,0,0,241,0,"Valdosta, GA Metro Area",54581,0.4893,149139,46660,46660,0.20446026860847935,0.02491635320070538,0.9564500231327822,0.16691810995111941,0.3726255372504845
"Vallejo-Fairfield, CA",46700,2024,274,255,19,0,0,0,0,80,48,37,0,2,250,22,0,"Vallejo, CA Metro Area",99994,0.4235,450824,46700,46700,0.09486407112309904,0.02889597714407396,0.9735151633453409,0.14745000266179262,0.345589409614395
"Vermillion, SD",46820,2024,182,150,32,0,0,0,0,84,56,40,0,0,125,57,0,"Vermillion, SD Micro Area",58794,0.4668,15133,46820,46820,0.16619308795347915,0.04698341373157999,0.9816956320623802,0.1018965175444393,0.3674750545166193
"Vernal, UT",46860,2024,274,175,96,3,0,0,0,119,71,47,0,0,258,16,0,"Vernal, UT Micro Area",69861,0.4507,36458,46860,46860,0.10946842942564046,0.02479565527456251,0.9921553568489769,0.18369082231608974,0.327500137144111
"Victoria, TX",47020,2024,182,169,13,0,0,0,0,97,47,36,0,0,182,0,0,"Victoria, TX Metro Area",69618,0.4439,98377,47020,47020,0.1517936102950893,0.020746719253484047,0.9879951614706689,0.1662380434451142,0.3755146019903026
"Vincennes, IN",47180,2024,238,203,35,0,0,0,0,90,58,41,0,0,238,0,0,"Vincennes, IN Micro Area",58863,0.4543,36108,47180,47180,0.12720172814888667,0.012711864406779662,0.9812783870610391,0.20361138805804807,0.4184668217569514
"Vineland-Bridgeton, NJ",47220,2024,178,151,27,0,0,0,0,100,52,39,0,3,141,34,0,"Vineland, NJ Metro Area",64499,0.5027,152915,47220,47220,0.15309158682928425,0.0336919203479057,0.9437726841709446,0.2166824706536311,0.34882778013929305
"Vineyard Haven, MA",47240,2024,240,222,17,1,0,0,0,108,48,39,0,0,238,2,0,"Vineyard Haven, MA Micro Area",102348,0.5558,20751,47240,47240,0.05310587441569081,0.03802226398727772,0.9948436219941208,0.1313671630282878,0.3547780829839526
"Virginia Beach-Norfolk-Newport News, VA-NC",47260,2024,275,200,75,0,0,0,0,90,57,43,1,9,135,130,0,"Virginia Beach-Chesapeake-Norfolk, VA-NC Metro Area",80533,0.4461,1782590,47260,47260,0.10574276754609865,0.02479930887080035,0.944351757835509,0.1414559713675046,0.3933131006008112
"Visalia-Porterville, CA",47300,2024,244,72,102,54,16,0,0,185,140,65,0,0,172,71,1,"Visalia, CA Metro Area",69489,0.4401,475774,47300,47300,0.17544674572381005,0.03927915354769281,0.9910293542732473,0.1400812150306658,0.2985156818153157
"Wabash, IN",47340,2024,244,217,27,0,0,0,0,84,51,39,0,0,244,0,0,"Wabash, IN Micro Area",68414,0.4087,30901,47340,47340,0.10148538882236821,0.017475162616096565,0.9690624898870587,0.24759716514028673,0.40626516941199314
"Waco, TX",47380,2024,183,90,92,1,0,0,0,102,72,51,2,0,51,130,0,"Waco, TX Metro Area",63880,0.4732,299217,47380,47380,0.1582864609965343,0.021920545958284455,0.9797872447086897,0.14494497304631757,0.36576130366924337
"Walla Walla, WA",47460,2024,244,208,36,0,0,0,0,90,57,39,0,0,197,42,5,"Walla Walla, WA Metro Area",72212,0.4647,62102,47460,47460,0.10849892112975427,0.027342114585681622,0.9546069369746546,0.12276577243889086,0.37663843354481336
"Warner Robins, GA",47580,2024,270,186,83,1,0,0,0,105,60,42,0,0,0,270,0,"Warner Robins, GA Metro Area",78702,0.4174,195171,47580,47580,0.10951422086273063,0.025152302339999284,0.971133006440506,0.14969949428962295,0.3711719466519104
"Washington-Arlington-Alexandria, DC-VA-MD-WV",47900,2024,305,175,122,8,0,0,0,129,77,48,0,8,196,101,0,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",123896,0.4476,6263796,47900,47900,0.07729929263341272,0.026428702339603653,0.987483628138592,0.10432826995004307,0.3751970849625371
"Waterloo-Cedar Falls, IA",47940,2024,304,176,128,0,0,0,0,87,61,48,0,0,103,201,0,"Waterloo-Cedar Falls, IA Metro Area",68916,0.4503,168163,47940,47940,0.1252237412510481,0.02376265884885498,0.98843384097572,0.1752585289272908,0.4074499146661275
"Watertown, SD",47980,2024,177,149,28,0,0,0,0,94,54,34,0,0,64,109,4,"Watertown, SD Micro Area",65080,0.4383,28556,47980,47980,0.10039921557641127,0.010855862165569408,0.9871130410421628,0.23949432693654574,0.4328687491245272
"Watertown-Fort Atkinson, WI",48020,2024,97,84,13,0,0,0,0,87,51,41,0,0,97,0,0,"Watertown-Fort Atkinson, WI Micro Area",80604,0.4025,85867,48020,48020,0.07842360860400387,0.018726635377968252,0.99567936459874,0.19778261730350424,0.4012600882760548
"Watertown-Fort Drum, NY",48060,2024,273,264,9,0,0,0,0,80,44,33,0,0,273,0,0,"Watertown-Fort Drum, NY Metro Area",64978,0.4331,116130,48060,48060,0.12771893567553605,0.026100060277275468,0.8881684319297339,0.16982691810901576,0.40214414879876004
"Wausau, WI",48140,2024,182,157,24,0,1,0,0,151,53,38,0,0,92,90,0,"Wausau, WI Metro Area",76185,0.4182,138067,48140,48140,0.08806593900063013,0.01549972114987651,0.9924167252131212,0.20884063534370995,0.41192319670884425
"Weirton-Steubenville, WV-OH",48260,2024,274,159,115,0,0,0,0,97,71,46,0,0,149,125,0,"Weirton-Steubenville, WV-OH Metro Area",57149,0.4441,115566,48260,48260,0.1502691102919544,0.028001315265735596,0.9888981188238756,0.2648270252496409,0.4279372825917657
"Wenatchee, WA",48300,2024,213,178,31,3,1,0,0,158,63,25,0,0,0,213,0,"Wenatchee-East Wenatchee, WA Metro Area",79007,0.4521,123251,48300,48300,0.08542729876431022,0.01959416150781738,0.9930304825112981,0.1392605333830963,0.37754663248168374
"Wheeling, WV-OH",48540,2024,274,174,100,0,0,0,0,84,63,46,0,1,106,155,12,"Wheeling, WV-OH Metro Area",58705,0.4711,138015,48540,48540,0.14117306089917764,0.024678476977140165,0.9667210085860233,0.2671521211462522,0.41351302394667244
"Whitewater-Elkhorn, WI",48580,2024,98,76,22,0,0,0,0,97,61,44,0,0,98,0,0,"Whitewater-Elkhorn, WI Micro Area",77359,0.4499,105447,48580,48580,0.09460676927745693,0.018340967500260794,0.9937029977144917,0.1719157491441198,0.4023348222329701
"Wichita, KS",48620,2024,182,123,56,2,1,0,0,196,62,44,0,1,114,64,3,"Wichita, KS Metro Area",68930,0.4521,648935,48620,48620,0.12831023137910577,0.025076471449374745,0.9812708514720272,0.14237019115936111,0.38910060329616986
"Williamsport, PA",48700,2024,182,136,46,0,0,0,0,93,61,41,0,0,132,50,0,"Williamsport, PA Metro Area",64412,0.4419,113570,48700,48700,0.11848199348419478,0.02623051862287576,0.9740600510698247,0.23480672712864312,0.406806374922955
"Wilmington, NC",48900,2024,274,232,42,0,0,0,0,97,54,38,0,0,172,102,0,"Wilmington, NC Metro Area",73687,0.4638,440578,48900,48900,0.10917930536704057,0.02484917540140452,0.9882631452319454,0.13679984020990607,0.4334397087462379
"Wilmington, OH",48940,2024,211,153,54,4,0,0,0,112,67,44,0,0,211,0,0,"Wilmington, OH Micro Area",68125,0.4418,42014,48940,48940,0.1432379682962822,0.0234921692769077,0.9930023325558147,0.24303803494073403,0.3935354881706098
"Winchester, VA-WV",49020,2024,274,205,68,1,0,0,0,102,57,42,0,0,127,147,0,"Winchester, VA-WV Metro Area",82413,0.4317,144676,49020,49020,0.10281594735823495,0.0246412673836711,0.9837568083165141,0.20245928834084437,0.3728814730846858
"Winona, MN",49100,2024,20,19,1,0,0,0,0,51,50,25,0,0,0,20,0,"Winona, MN Micro Area",70198,0.4377,49705,49100,49100,0.12552057137108943,0.01740267578714415,0.9903631425409919,0.14773161653757166,0.4081681923347752
"Winston-Salem, NC",49180,2024,244,128,112,4,0,0,0,122,74,50,0,3,123,118,0,"Winston-Salem, NC Metro Area",64282,0.4589,683637,49180,49180,0.13649787825995374,0.023935217081579845,0.9911034657281569,0.16398322501561502,0.402838055868831
"Worcester, MA-CT",49340,2024,245,206,37,2,0,0,0,122,57,39,1,7,183,52,2,"Worcester, MA Metro Area",93561,0.4559,861664,49340,49340,0.10030359861848702,0.029040321981654103,0.9879721097782894,0.16147709548037287,0.3867783730085045
"Yakima, WA",49420,2024,213,162,47,3,1,0,0,153,61,31,0,0,0,212,1,"Yakima, WA Metro Area",68015,0.4266,256605,49420,49420,0.1522729486954658,0.03280528438650845,0.9913173944389236,0.14107675220669902,0.3378305177217903
"York-Hanover, PA",49620,2024,182,118,63,1,0,0,0,101,67,44,0,3,108,71,0,"York-Hanover, PA Metro Area",82238,0.4147,459312,49620,49620,0.08395164942348556,0.023463353885811822,0.9904291636186296,0.23317048106733548,0.39234115372557216
"Youngstown-Warren-Boardman, OH-PA",49660,2024,274,161,113,0,0,0,0,97,67,47,0,0,151,123,0,"Youngstown-Warren, OH Metro Area",55357,0.4636,428430,49660,49660,0.17169199169059124,0.02588054057839087,0.9814111990290129,0.25379641948509674,0.4302336437691105
"Yuba City, CA",49700,2024,182,139,41,2,0,0,0,105,58,44,0,0,142,40,0,"Yuba City, CA Metro Area",74762,0.4507,182050,49700,49700,0.1482834386157649,0.03153529250205987,0.9770502609173304,0.1421312826146663,0.3367371601208459
"Yuma, AZ",49740,2024,274,169,103,2,0,0,0,102,74,46,0,0,177,47,50,"Yuma, AZ Metro Area",60417,0.4448,207685,49740,49740,0.15851409586633602,0.03226039434720851,0.9544839540650505,0.141974625033103,0.37028673231095166
